Headword,Definition
СЛУЧАЙНОСТЬ,"здарэньне, выпадак, трапля."
СЛУЧАЙНЫЙ,"выпадковы, трапны."
СЛУЧАТЬ,"каго з кім, што; злучаць, злучаньне."
СЛУШАТЕЛЬ,"слухач, слухачка."
СЛЫГАТЬ,"што, салгаць, зманіць."
СЛЫХАТЬ,"што, чуваць, чутно, чутка."
СЛЕВА,"прысл. зьлева, зьлявіць. Справа мора, зьлева горы. Захадзі зьлева."
СЛЕДИТЬ,"каго, ісьці па сьлядох; сачыць (ад „сакмо“ — сьлед)."
СЛЕДОВАТЬ,за кім; ісьці. Ідзі за ім. Дні ідуць за днямі.
СЛЕДУЕТ,"павінна, трэба, выходзіць; належыцца, належыць. Кождаму належыць клапаціцца аб сабе. Нікому не належыцца утыкаць носу ў чужыя справы."
СЛЕДОВАНЬЕ,"войска, абозаў; ход, паход."
СЛЕДСТВИЕ,"ср. шуканьне сьлядоў, пазнак, віны; сьледзтва, сьледавацель, сьледаваць."
СЛЕДСТВИЕ,ср. вынік. А вынік з гэтага быў саўсім не чаканы.
СЛЕДУЮЩИЙ,"наступны, чародны."
СЛЕД,"м. сьлед, троп, сакмо, ступно."
СЛЕЗАТЬ,"злязаць, зьлез—злы."
СЛЕПИТЬ,"што, зляпіць, злепак."
СЛЕПОЙ,"сьляпы, слепаваты, падсьлепы, сьляпец, сьляпяндзя; невідушчы, невідучы; сьляпень — муха Tabanus; сьляпіць каго, сьлепнуць, сьлепавокі; нявісны."
СЛЮБИТЬСЯ,"з кім, злюбіцца."
СЛЮДА,"слаістае, як шкло правіднае выкопнае; луда, лудак."
"СЛЮЗ, ШЛЮЗ","м. нямецк. Schluse, завор."
СЛЯГА,"тонкае, доўгае бервяно; друк, жэрдзь."
СЛЯКОТЬ,"слата, слаціць; негадзь."
СМАЗЫВАТЬ,"што чым; мазаць—зацца, мазь, мазаны, мазок, мазень."
СМАЗЛИВЫЙ,"гладкі, гладкасьць."
СМАЛИТЬСЯ,"смыліць, смылкі, смылець."
СМАЛКИВАТЬ,"змаўкаць, змоўкнуць, змоўк."
СМАЛУ,"прысл. змалку, змаленьства: Змалку дзён прывык да вады. Змаленьства я гэтага не бачыў і баяўся. Змаленьства дуронік, а падстарасьць злодзей."
СМАНИТЬ,каго куды; знадзіць.
СМАРАТЬ,"што, спэцкаць—кацца."
СМАСТЕРИТЬ,"што, змайстраваць."
СМАТЫВАТЬ,"што, зматываць, змотак."
СМАХИВАТЬ,што з чаго; змахаць.
СМАХИВАТЬ,на каго; быць падобным.
СМЕЖАТЬ,"што, збліжаць; аб вачах: самжаць, самгнуў—гнуць. Толькі самгнуў вочы, аж нехта, чую, драгае ў дзьверы. Ані вачэй не самгнуў гэтае начы."
СМЕЖНЫЙ,"сумежны, сумежна, сумеж."
СМЕКАТЬ,"што, спакмяваць, спокмеўка, спакмеў; скеміць, кемкі. Гэта каб ты упіўся ды ня скеміў… (Сержп. 69). Я ўлёт спакмеў чаго ён хоча. Слухай, ды спакмявай. Адзін мігае, а другі спакмявае. А ты спокмявай што людзі кажуць. Калі ня розумам дык спокмеўкай бярэ. Кемкі хлапец, усё ўлёт спакмявае. Добры дзяцюк ды спокмеўкі ў яго няма."
СМЕРЗАЦЬ,"змярзаць, зьмерзлы, змярзляк."
СМЕРКАТЬСЯ,"змяркацца—каньне, зьмерк, зморк, змрочны, змрочлівы."
СМЕРТЬ,"сьмерць, сьмертухна, сьмяротка."
СМЕРТНЫЙ,"сьмяротны—насьць, сьмяротнік."
СМЕРТЕЛЬНЫЙ,сьмяртлівы. Сьмяртлівы вораг. Сьмяртлівая крыўда.
СМЕРЧ,"навальнічны віхор, сувой і вір у паветры; склока."
СМЕТАТЬ,"што, зьмятаць—таньне, сумёт, сумётны; сумецішча; суметнік, мейсца, куды зьмятаюць сьмяцьцё; сумецьце, ўсё непатрэбнае, што вымятаецца вон."
СМЕТАНА,ж. сьмятана.
СМИГИВАТЬ,"зьмігаць—гацца, зьміглі."
СМИЛОВАТЬСЯ,зьлітавацца.
СМИРЯТЬ,"каго, успакаіваць—вацца."
СМИРЕНИЕ,"ср. супакоеньне, успакоеньне; пакора."
СМИРЕННЫЙ,спакойны; пакорны.
СМИРНОСТЬ,супакойнасьць.
СМИРЕННОСТЬ,пакорнасьць.
СМИРИТЕЛЬ,спакорнік—ніца.
СМИРИТЕЛЬНЫЙ,спакорчывы.
СМОКОВНИЦА,ж. дрэва і плод Ficus carica: смоква.
СМОКТАТЬ,"смактаць, цмактаць, цмактун."
СМОЛА,"ж. смала, смолка, смалянка, смалаваты, смольны: смоль, чорная смала, копаць ад смалы, пах нечага смылелага, што засмылела ад гарачыні; смаліць, пакрываць смалой; смалярня, смалакурня; смаляр; смаляк, смалаватае палена."
СМОЛВИТЬ,"змовіць, прамовіць."
СМОРКАТЬ,"сморкаць—кацца, смаркачы, смаркач."
СМОРОЗИТЬ,"што, сказаць яўную ня праўду, змахлыжыць."
СМОРЩИТЬ,"зморшчыць—чыцца, зморшчкі."
СМОТАТЬ,"ніткі, зматаць."
СМОТРЕТЬ,"глядзець—дзецца, агляд, агледзіны."
СМОТРИТЕЛЬ,даглядчык—чыца.
СМОЧЬ,"што, змагчы, змога; здолець."
СМОШЕННИЧАТЬ,"што, зжуліць."
СМРАДИТЬ,"смуродзіць, сморад, сьмярдзець."
СМУДРИТЬ,"што, змудраваць."
СМУРИЙ,"цьмяны—насьць, цьмянець; хмарны."
СМУТА,ж. замутня; руіна; каломеса.
СМУЩАТЬ,"што, змучаць, змучаны; каламесіць; муціць."
СМУЩЕНИЕ,"засаромленьне, сорам."
СМУТНЫЙ,мутны. Мутна памятаецца.
СМУТЬЯН,м. змутар.
СМЫВАТЬ,"што, змываць—вацца, змыты."
СМЫКАТЬ,"што, змыкаць—кацца, змычны."
СМЫЧКА,"паз дзе адна рэч прытыкае да другой; стык, стыкацца, стычны; зьвяно."
СМЫШЛЯТЬ,"што, змысьляць; здумляць, здуманы."
СМЫСЛ,"м. сэнс, сэнсоўна. У гэтым ёсьць сэнс. З сэнсам гавора. Усей прамовы сэнс такі, што бяз грошы нічога нязробіш."
СМЫШЛЕННОСТЬ,"спрыт, спрытны—насьць; цямлівасьць, цямкі."
СМЕЛЫЙ,"аг. слав. сьмелы, сьмельшы, сьмялейшы, сьмеласьць, сьмялач—лачка, сьмелаваты, сьмялець, сьмельства, сьмельскі. Сьмелыя вочы ў мужчын — краса, ў жанок спагуда. Сьмеласьць сіле ваявода."
СМЕТЬ,важыцца. Ані важся гэта рабіць. Я не адважыўся сказаць. Як ён мог адважыцца на гэткі чын?
СМЕНЯТЬ,"каго, што; зьмяняць—няцца, зьмена, зьменнасьць."
СМЕРИВАТЬ,"што, зьмяраць—рацца, зьмераньне, зьмерка, зьмерны, зьмерак."
СМЕСИТЬ,"што, зьмясіць—сіцца, зьмесак."
СМЕСЬ,"мяшаніна, мяшанка."
СМЕСТИТЬ,"што у чым; зьмесьціць, стоўпіць."
СМЕТА,ж. каштарыс. Зрабіць каштарыс будоўлі. Каштарыс даходаў і выдаткаў; размяркація.
СМЕХ,"м. аг. сл. сьмех, сьмешкі, сьмехацьцё, сьмяхотны—хотлівы, сьмешны, сьмяшыць, сьмяяцца, сьмяхотнік—ніца, сьмеў, сьмеўкі, сьмевы, сьмяхоты. Работа, курам на сьмех. Гэта-ж коні сьмяяцца будуць! І сьмех і грэх. Ня тoe сьмешна, што жонка мужа бье, а тое, што муж плача. Сьмяхотны хлапец. Сьмехацьцё дый толькі. Я гэта сказаў сьмехам (жартам), а ён і начапурыўся. У маладзежы заўсёды сьмевы ды перасьмеўкі."
СМЕТИТЬ,"што, скеміць."
СМЕТЛИВЫЙ,"кемкі, кемлівы, кемкасьць."
СМЯГЧАТЬ,"што, зьмякчаць—чацца, зьмякаць, зьмяклівы, зьмякнуць, зьмяклы, зьмяклаць."
СМЯТЕНЬЕ,"трывога, ўзбураньне."
СМЯТКА,"аб вараным яйку; наўзьмяч. Звары яйко не на цьвёрда, а наўзьмяч."
СМЯТЬ,"скомкаць, пакомкаць, скамшыць."
СНАБДЕВАТЬ,каго чым; дастарчаць—чаньне.
СНАБЖЕНИЕ,"дастача; засобленьне, засобіць—біцца, засоблівы. Чым (што) зямля засобіць (дастарчая) — тым і кормімся. Мы ўзасобілі яго ў дарогу усім патрэбным. Чалавек ўзасоблены розумам і воляй."
СНАДОБЛЯТЬ,"азнадабляць, азнадаблены—біць."
СНАДОБЬЕ,прыправа; зельле; спэція.
СНАРУЖИ,"прысл. зьверху, зьверхняй стараны спаверху, спаверхнасьць. Спаверху гладка, а ў сярэдзіне гадка. Пстрыкаты рысь спаверху, а чалавек з сярэдзіны. Па спаверхнасьці нельга судзіць аб чалавеку. Дзеўка, хлапец гожай спаверхнасьці. Спаверху бытцам рай, а ў сярэдзіне пекла."
СНАРЯЖАТЬ,"што, каго; прыспасабляць—ляцца, прыспасобленьне, прыспасобка, прыспасобны, прыспасобнік—ніца, прыспасоблівы; прыладжаць—дзіцца, прыладжаньне. Прыспасобіў, прыладзіў ужо саху, калёсы навясну. Прыспасобіць каго ў дарогу. Умелі ўзгадаваць, умейце і да жыцьця прыспасобіць."
СНАРЯДИТЬ,"каго чым; узасобіць. Узасобіць войска абозамі, ежай і адзежай."
СНАРЯД,"рэч як прылада ў рэмясьле, промысьле, умецтве: прылада. Сьлясарскія, стругарскія прылады. Без прылады — як бяз рук."
СНАСИЛОВАТЬ,"каго, прыняволіць, прысілкаваць."
СНАСТЬ,"ж. начыньня. У краўца начыньня; (чым ён „чыніць“, ад „чын“ работа, дзейнасьць): іголка, нітка, напалак, пегель; у лаўца начыньня: запасткі, стрэльба; у стругара (сталяра): стругі, далоты, пілы, і г. д."
СНАЧАЛА,"прысл. спачатку, знова. Спачатку падумай, а пасьля скажы. Пачынай знова."
СНАЩАТЬСЯ,"снадзіцца, аснада, рас.: „оснастка“."
СНЕВОЛИТЬ,"каго, зьняволіць, зьняволеньне, зьняволя. Бяда зьняволіла ў жэбры ісьці. Бацькаўская зьняволя прымусіла жаніцца."
СНЕСТИ,"што, зьнясьці, знасіць; зносьць, цярплівасьць. Ужо зносьці няма цярпець далей."
СНЕТОК,м. рыбка Osmerus eperlanus; стынка.
СНИГИРЬ,"птушка Loxia pyrrhula, гіль. Гіліць, прыслужываць каму паводле ўмовы гульні; гіль, навічок, практыкант, новы ў навуцы, ў вучэньні; гілёк, насок у начыньні, прыкладам у чайніку; агіляцца, марудзіць, гультаіць, унікаць шчырай работы; блазнаваць."
СНИЗАТЬ,"пацеркі на шнурок, зьнізаць."
СНИЗУ,"прысл. зьнізу. Зьнізу мокра, зьверху золка. Зьнізу белы, зьверху чорны."
СНИМАТЬ,"што, скуль; зьнімаць—мацца, зьнімак, зьнімчывы. Зьнімі вопратку, шапку."
СНИСКИВАТЬ,"што, шукаючы знаходзіць; набываць—ваньне, набытак. Набываць хлеб працай. Набыць славу. Вышуківаць."
СНИСХОДИТЬ,"скуль, зыходзіць. Сонца зышло на захад. Зыходзіць народ з гары."
СНИСХОЖДЕНИЕ,"паблажлівасьць, паблажлівы, паблажка."
СНИДТИ,"зыйсьці, зыход."
СНИТИТЬ,"што, каго; зьнеціць, зруйнаваць, зьнішчыць, зьніштожыць."
СНИТЬ,"расьціна, сьнітка, шнітка."
СНОВА,"прысл. зноў, ізноў, пазноўна. Знова пачаў сваю басьню. Ізноў такі прышоў. Пазноў на разпачаў суд."
СНОВАТЬСЯ,"сноўдацца, сьцяняцца."
СНОВИДЕНИЕ,"ср. сон, сны, сьніцца."
СНОЗА,"зьвязь двох розных рэчаў; знуза, знузіць. Знузіць дышаль з павозкай. Гаворыцца аб рэчах, якія злучаюцца пры помачы шворна, папярэчнай змацоўкі."
СНОП,"м. аг. слав. сноп, снапы, снапаўё, снапок."
СНОПЬЯНОЕ,"зельля, снатворнае."
СНОРАВЛИВАТЬ,"што, прыпасовываць—вывацца, прыпасоўка; дагаджаць, гадзіць, дагодліва."
СНОРОВКА,"зручнасьць, навык, навытар."
СНОСНЫЙ,зносны.
СНОСЛИВЫЙ,"выносьлівы, выносьлівасьць."
СНОТОЛКОВАТЕЛЬ,снотлумач.
СНОХА,"ж. жонка сына; нявестка, сыновая."
СНУЗНИЙ,"црк. конны, коннік."
СНУР,"м. нямец. шнур—рок, шнураваць."
СНУРИЙ,пануры.
СНУТРИ,прысл. зсярэдзіны.
СНЕГ,"м. агул. слав. сьнег, сьняжок, сьнежыць, сьняжысты, сьнежкі, сьняжына."
СНЕГУРКА,"сьняготка, сьнегавік."
СНЕДЬ,"яда, ежа, едзіва. Усё дадзена на ежу і на патрэбу чалавеку."
СНЮХАТЬ,"што, зьнюхаць, звохшыць."
СОБАКА,"ж. сабака, сабачка, сабацкі—бачы, сабачнік, сабакар; сабачня, рас. „псарня“, сабачыцца. У нас сабака не жаночага, як у маскалёў, а мужчынскага роду. Сабацы, сабача сьмерць. Прымацкі хлеб — сабацкі. На каго людзі — на таго і сабакі. Любіш мяне, любі і майго сабаку."
СОБЕСЕДНИК,"субясёднік—ніца, субясёдаваць."
СОБИРАТЬ,"што, зьбіраць—раньне, збор."
СОБЛАГОВОЛИТЬ,"рачыць, рачаньне. Рачце госьцікі за сталы цісовыя, абрусы бялёвыя."
СОБЛАЗНЯТЬ,"каго, спакушаць—шацца, спакусьнік—ніца, спакуса. Чорт хацеў спакусіць ix (Сержп. 67). Чым сам хто спакусіўся, тым і другіх спакушае."
СОБЛЮДАТЬ,"што, заховываць—вацца. Заховываць звычаі і абычаі. Я захаваў сваю маемасьць. Ці заховываецца парадак выдаваньня грошы. Заховывай духоўную чыстату, беражыся брыдзі маральнай."
СОБОЛЬ,"зьвярок Mustela zibelina; саболь, саболі."
СОБОЛЕЗНОВАТЬ,"каму, спачуваць—чуцьце, спачуваньне."
СОБОР,"м. збор, сабраньне, скупа, скупшчына. Двор вялікі, збор не вялікі, не ўся радня. (Шэйн)."
СОБОЮ,прысл. сабой. Ён гэта сам сабой зрабіў.
СОБРАТ,м. пабратым.
СОБУТЫЛЬНИК,м. спабутэльнік.
СООБЩА,"прысл. разам, супольна. Супольна ўсё робяць. Супольна таргуюць."
СООБЩИТЬ,"што каму; паведаміць; што з чым; злучыць, злучэньне."
СОБЫТИЕ,ср. падзея. У нас з гэтага здарэньня зрабілі цэлую падзею. Гістарычныя падзеі служаць навукай патомству.
СОБСТВЕННЫЙ,"свой, ўласны, собскі."
СОБСТВЕННОСТЬ,"ўласнасьць, собіна, собінка."
СОБСТВЕННО,прысл. ўласьціва. Ўласьціва зямля гэта яму не належыць.
СОБСТВЕННОРУЧНО,ўласнаручна.
СОБСТВЕННИК,ўласьнік—ніца; собнік—ніца.
СОВА,"ж. сава, соўка, савіны."
СОВАТЬ,"што, суваць, сую, суеш, сувацца. Гляджу, аж ён суе мне грыўню ў руку. Ён суваўся да мяне біцца. Ня суйся ў паны, лекаем будзеш. Што ты яму там суеш у лапу. Усюды суваўся шукаючы праўды; торкаць, ткаць."
СОВЕРШАТЬ,"што, даконываць, дакананьне."
СОВЕРШЕННЫЙ,дакананы. Дакананы факт.
СОВЕРШЕННО,"саўсім, зусім. Зусім іншы."
СОВЕРШЕННЫЙ,які дасьціг высшай дасканальнасьці; дасканальны.
СОВЕРШЕНСТВО,дасканальнасьць.
СОВЕРШЕНСТВОВАТЬ,дасканаліць—леньне.
СОВЕРШАТЕЛЬ,даканач.
СОВЕРШЕННОЛЕТНИЙ,поўналетні.
СОВЛАДЕВАТЬ,"абладаць, абладаньне."
СОВЛАЧАТЬ,з каго што; сьцягаць.
СОВМЕЩАТЬ,стоўпіць—піцца; зьмесьціць.
СОВМЕЩЕНИЕ,"ср. патоўплівасьць; сумеснасьць, сумесьлівасьць."
СОВМЕСТИТЕЛЬ,спатоўпнік—ніца; сумесьнік.
СОВМЕСТНО,"сумесна, паспольна."
СОВОЗЛЕЖАТЬ,"з кім, суспол ляжаць."
СОВОКУПЛЯТЬ,"злучаць, зьбіраць у адно; купіць, скупіць; злучаць; суспаляць."
СОВОКУПЛЕНИЕ,"злучэньне, сусполеньне—ліцца."
СОВОКУПНО,"злучна, супольна—насьць."
СОВОК,"м. прылада да насыпаньня, адмена каўша зпераду аткрытага; шупаль."
СОВПАДАТЬ,"зыходзіцца, супадаць, супадацца."
СОВПАДЕНИЕ,ср. зьбег варункаў; супадак. Вялікдзень часам супадае з Багавешчаньнем.
СОВРАЩАТЬ,"каго, спаварачываць, абяртаць."
СОВРЕМЕНЯТЬ,зчасаваць.
СОВРЕМЕННЫЙ,сучасны—насьць.
СОВРЕМЕННИК,"сучасьнік—ніца, сучасна."
СОВРЕМЕНЕМ,зчасам. Зчасам усё будзе.
СОВСЕМ,"прысл. саўсім, зусім. Саўсім Максім і шапка з ім. Зусім такі конь, як наш. Зусім усё добра, а толькі галаву сякуць."
СОВЫКАТЬСЯ,"звыкацца, звыкся."
СОВЕСТЬ,"ж. сумленьне, сумленны—насьць."
СОВЕСТИТЬСЯ,"сароміцца, стыдацца."
СОВЕЩАТЬСЯ,"каму з кім; радзіцца, раіцца."
СОВЕЩАНИЕ,ср. нарада.
СОВЕЩАТЕЛЬ,"райчы, радны, раднік."
СОВЕЩАТЕЛЬНОЕ,"мейсца, раднае."
СОВЕТОВАТЬ,"каму, што; радзіць, раіць—іцца."
СОВЕТ,"м. рада. Рада дзяржаўная. Добрая рада лепш за спогад. Даць каму раду. А пан гаспадар суды судзіць, рады радзіць (Вяс. песьня)."
СОВЕТСКИЙ,радавы. Радавая рэспубліка. Радавы лад.
СОГБЕНИЕ,"ср. згіб, згорбленьне; пахіласьць."
СОГЛАШАТЬ,згаджаць—джацца.
СОГЛАСОВАТЬ,пагадзіць.
СОГЛАШАТЬСЯ,згаджацца.
СОГЛАШЕНИЕ,ср. угода. Зрабілі паміж сабой угоду.
СОГЛЯДАТЬ,"што, тайна выведываць; вызведываць—ваньне, вызведы."
СОГЛЯДАТАЙ,"вызьведчык, вызьведніцтва."
СОГНИТЬ,згніць.
СОГНУТЬ,"што, сагбаць, згібнуць."
СОГРАЖДАТЬ,"што, згараджаць, згароджаны."
СОГРАНИЧНЫЙ,"з чым, пагранічны."
СОГРАЖДАНИН,м. спаўграмадзянін.
СОГРЕВАТЬ,"што, саграваць—вацца, сугрэў."
СОГРЕШАТЬ,паграшаць—шаньне.
СОГРЕШЕНИЕ,ср. пагрэшнасьць—шнік—шніца.
СОДВИГАТЬ,зсуваць—вацца.
СОДЕРЖАТЬ,"што, каго, дзе; утрымліваць, утрыманьне; трымаць. Птушак трымаюць у клетках. Ён утрымлівае гэту школу на свой кошт."
СОДЕРЖАТЬ,"што у сабе; мець, мае; зьмяшчаць. Гарэлка гэта мае 30% на сто вады. Пуд мае 40 фунтаў. Кніга зьмяшчае ў сабе навуку аб прыродзе."
СОДЕРЖАНКА,ж. утрыманка.
СОДЕРЖАНИЕ,"кнігі, зьмест."
СОДЕРЖАНИЕ,выдатак на што; утрыманьне.
СОДЕРЖИМОЕ,зьмесьціва.
СОДЕРЖИМОСТЬ,"зьмесьціва, патоўплівасьць."
СООДНОВА,"прысл. зразу, адразу. Адразу ўсё зьеў. Зразу падняў. Захацеў зразу ўсё мець."
СОДОМ,"крык, гоман, сварка; гвалт."
СОДРОГАТЬСЯ,"здрыгацца—нуцца, здрыганьне."
СОДЕЙСТВОВАТЬ,дапамагаць.
СОДЕТЕЛЬ,зьдзейца.
СОЕДИНЯТЬ,"што з чым; злучаць—чацца, злучэньне, злучнік—ніца; суадналяць, суаднолены—леньне, суаднольнік—ніца."
СОЁК,"м. дрот, якім прачышчаюць люльку; протар."
СОЖАЛЕТЬ,шкадаваць—ваньне.
СОЖИГАТЬ,"што, спаляць—ляньне, спал. Гэты паперы пойдуць на спал."
СОЖДАТЬ,пачакаць.
СОЖИМАТЬ,"сьціскаць, сьціск."
СОЖИТЕЛЬ,"сужывец, сужывецтва. Сужывецтва людзей варункуецца выпаўненьнем права."
СОЖИТЕЛЬСТВО,"ў значэньні няпраўнага зьвязку мужчыны з жанкой; сойдніцтва, сойда, сайдацтва."
СОЖРАТЬ,зжорці. Ён гатоў зараз ўсё зжорці.
СОЗВАТЬ,"гасьцей, сазваць, склікаць."
СОЗВУЧИЕ,"ср. созгук, сазгучнасьць, сазгучча."
СОЗВЕЗДИЕ,"кучка гвезд, сабраных пад адно найменьне; спагвезьдзе."
СОЗДАВАТЬ,"што, ствараць, тварыць, твор, тварэц."
СОЗИДАТЬ,"што, тварыць, творчы—часьць; будаваць."
СОЗЕРЦАТЬ,"што, глядзець ўнікаючы ў істоту рэчы; зеціць—чаньне, зетлівы—васьць, зетнік, зетніца. Бог зеціць помыслы сэрца чалавечага. Зецячы прыроду, зецім вялічча Стварыцеля."
СОЗЕРЦАТЕЛЬНЫЙ,спазетлівы.
СОЗНАВАТЬ,"што, усьвядамляць. Ён усвядамляе памылку сваю. Ён сам не ўсьвядамляе сабе што робіць."
СОЗНАНЬЕ,ср. сьвядомасьць; прытомнасьць. Хворы ляжыць без прытомнасьці ўжо. Сьвядомасьць адпавядальнасьці пабуджае чыннасьць.
СОЗНАТЕЛЬНЫЙ,сьвядомы. Сьвядомы паступак.
СОЗНАТЕЛЬНОСТЬ,сьвядомасьць.
СОЗРЕВАТЬ,"сьпець, сьпеньне, сьпеласьць."
СОЗРЕВАТЬ,"што, аглядаць, агляд."
СОИЗВОЛЯТЬ,"што, або на што; прызваляць—леньне."
СОИМЕННИК,"м. цёска, аднайменьнік."
СОИСКАНИЕ,"ср. спаборніцтва, спаборнік—ніца."
СОКОЛ,"птах, сакол, сакалок, саколка."
СОКРАЩАТЬ,"што, скарачаць—цца, скарот."
СОКРОВЕННЫЙ,"скрыты, скрытасьць."
СОКРОВИЩЕ,ср. даўней: схоў; цяпер: скарб.
СОКРУШАТЬ,"што, крушыць, бурыць, ламаць; скрушаць, скрушацца, скруха, скрушаны, скрушны."
СОЧЕВИЦА,"раcц. Ervum lens; сачыўка, сачывіца."
СОЧЕЛЬНИК,"м. вечар перад Калядамі; конадзень, конаднік; канодаваць, спраўляць вячорнае сьвята з абрадовай вячэрай."
СОКОВНИК,"м. сачэнь, блін, піражок, печаны на макавым ці калапельным малацэ."
СОЛДАТ,м. нямецк. жаўнер—ства; ваяр.
СОЛИДНЫЙ,"франц. надзейны, пэўны."
СОЛИДАРНОСТЬ,"франц. кругавая парука, адзін за ўсіх і усе за аднаго; аднамыснасьць."
СОЛИСТ,"м. франц. лепшы па голасу і ўменьню сьпявак, адзіночны сьпявак."
СОЛИТЕР,"чарвяк які трапляецца ў жалудку ў чалавека, тасемісты гліст; тасемнік."
СОЛНЦЕ,"аг. слав. сонца, сонейка, сонечна."
СОЛНЕЧНИК,расьціна Helianthus annuus; сонечнік.
СОЛНЦЕВОРОТ,сонцаварот.
СОЛОВЕЙ,"птах, салавей, салавейка, салаўіны; салоўка."
СОЛОВЫЙ,"масьць, буланы."
СОЛОТЬ,рэдкае і вязкае балота; крокаць.
СОЛОХА,ж. русалка.
СОЛЬ,"аг. слав. соль, салёны, саліць, солена, солка."
СОЛОНКА,ж. начыньне да солі; сальніца.
СОЛЬБА,"саленьне, саляніна."
СОМНАБУЛИЗМ,фрн. люнатызм.
СОМНЕНЬЕ,"ср. нявера, падозрывасьць, боязьнь; сумнеў, сумнявацца, сумнеўна, сумнеўны, сумнеўнасьць."
СОМРАК,црк. зьмерк.
СОНМ,"м. црк. сход, збор, сходка, зьбежышча."
СОН,"аг. сл. сон, сонны, санлівы, соня, сонька, соннасьць."
СООБРАЖАТЬ,"што, мяркаваць, кеміць."
СООБРАЖЕНИЕ,"ср. мяркація, амяркація."
СООБРАЗНЫЙ,"з чым, адпаведны, згодны."
СООБРАЗИТЕЛЬНОСТЬ,"здагадлівасьць, кемлівасьць."
СООБРАЗОВАТЬ,"што з чым; згадзіць, пагадзіць."
СООБЩАТЬ,"што, каму: перадаваць—вацца; павядамляць."
СООБЩЕНЬЕ,"злука, спалука; павядомлень-"
СООБЩАТЬСЯ,злучацца; знасіцца.
СООБЩА,"разам, супольна, агулам, злучна."
СООБЩНИК,супольнік—ніца; спалучнік.
СООБЩЕСТВО,"суполка, супольнік—ніца; спалука."
СООРУЖАТЬ,"што, будаваць—ваньне, будынак."
СООТВЕТСТВЕННО,"чаму, адпаведна."
СООТВЕТСТВОВАТЬ,адпавядаць.
СООТЕЧЕСТВЕННИК,м. спаўбацькавіч.
СООТНОШЕНИЕ,ср. стасунак.
СООТНОСИТЬСЯ,стасуецца.
СОПЕЛКА,ж. сьвісьцёлка.
СОПЕРНИК,"м. спадужнік, спаборнік."
СОПЕРНИЧАТЬ,"спадужацца, спабарацца."
СОПЛЕМЕННИК,"м. крывіч, пабратым."
СОПОСТАВЛЯТЬ,"што з чым, спастаўляць."
СОПРИКАСАТЬСЯ,"з чым, стыкацца."
СОПРИКОСНОВЕНИЕ,"ср, стык, стычнасьць."
СОПРИЧАСТНЫЙ,спрычынны.
СОПРИЧАСТНИК,спрычыннік—ніца.
СОПРОВОЖДАТЬ,"каго, праводзіць."
СОПРОТИВ,"чаго, наспроць, наспроцьны."
СОПРОТИВЛЯТЬСЯ,спраціўляцца—леньне.
СОПРЕТЬ,"стлець, сапрэць."
СОПЕТЬ,"сапець, сапнуць, сапсьці, сапеньне, сапун, сапучы, сопат."
СОРАБОТНИК,"супрацоўнік—ніца, супрацоўніцтва; спаработнік."
СОРАДОВАТЬСЯ,спацяшацца.
СОРАЗМЕРЯТЬ,"што з чым, спамяраць."
СОРАЗМЕРНЫЙ,спамерны—насьць.
СОРАТНИК,м. спаборнік.
СОРДЕТЬ,зжаўрэць.
СОРЕВНОВАНИЕ,"сусьціг, сусьцігацца, сусьціжнік—ніца; спаборніцтва."
СОРИНКА,"ж. парушынка, трусачка, затрусіць."
СОРОКА,"птах, сарока."
СОРТИРОВАТЬ,франц. гатункаваць.
СОРТ,м. франц. гатунак—нковы.
СОР,"м. сумецьце, суметны, суметнік; шума."
СОСАТЬ,"ссаць, ссаньне, соска, сутка, суток, сасіць, сасуха; смактаць."
СОСКОЛЬЗАТЬ,"саскаўзаць, сасьлізаць; шчакаўзаць."
СОСКУЧИТЬСЯ,змаркоціцца.
СОСЛОВИЕ,"людзі агульнага ім заняцьця, агульных правоў; стан. Купецкага, духоўнага стану чалавек."
СОСЛУЖИВЕЦ,м. супрацоўнік—ніца.
СОСОК,"м. сама барадавачка на грудзёх; музок, музік; музы, вусны; сойчык."
СОСРЕДОТОЧИВАТЬ,"скупляць—ляцца, скуплены. Скупіць войска. Скупіць увагу, мысьлі."
СОСРЕДОТОЧЕННОСТЬ,скупленнасць.
СОРОДНИКИ,"сваякі, родзічы."
СОСТАВЛЯТЬ,"зкуль далоў: зстаўляць, зстаўляньне."
СОСТАВ,"матэрыя, зложаная з рожных матэрый; сызбор, сызборны. Сызбор складанага стала. Сызбор для пазалоты. Сызбор гэтага лякіру невядомы. Сызбор войска, роты, батальёну. Сызор вады: дзьве часьці вадароду і адна часьць квасароду, на вагу. Сызборныя часьці лякарства."
СОСТАРИТЬ,"каго, састарыць."
СОСТОЯТЬ,складаць—дацца; быць.
СОСТОЯТЬСЯ,адбыцца. Адбыліся таргі.
СОСТОЯНЬЕ,ср. стан; меньне.
СОСТОЯТЕЛЬНЫЙ,маетны. Маетны чалавек.
СОСТРАДАНЬЕ,"спачуваньне—чуваючы, спачуцьцё."
СОСТРОГАТЬ,састругаць.
СОСТРОИТЬ,"дом, збудаваць."
СОСТРЯПАТЬ,"што, згатаваць."
СОСТЯЗАТЬСЯ,"з кім, сасьцігацца, сусьцігі."
СОСТЯЗАТЕЛЬНОЕ,"кіравецтва, сусьцігоўчае."
