Headword,Definition
ОБОНПОЛ,"прысл. црк., па той бок."
ОБОНЯТЬ,"чуць носам, нюхам пах; нюхаць, вохшыць. Сабака вохшыць, звохшыў сьлед."
ОБОНЯНИЕ,"ср. апавохнасьць, нюх. Ад сільнага камару траціцца апавохнасьць."
ОБОРАЧИВАТЬ,"што, авяртаць, аварот; абяртаць."
ОБОРАНИВАТЬ,"каго, што; абараняць, абарона, абаронны."
ОБОРОТЛИВЫЙ,"аваротлівы, зваротлівы. Аваротлівы круг. Зваротлівы чалавек."
ОБОРОТЕНЬ,"чалавек перакінуты ведзьмаком у воўка; перакульшчык, ваўкалака; вукула (смл.)."
ОБОРОТ,м. аварот. Аварот каляса.
ОБОРКА,"абшыўка па рубу; абрубка, фальбанка, шлярка."
ОБОРВАНЕЦ,"м. абарванец, абдзерцік, абдзіра; лахудра."
ОБОРУДОВАТЬ,"што, абастовіць, астовіць. Астоўленьне майстэрні дорага каштавала. Прадаецца кузьня з усей абастоўкай."
ОБОСОБЛЯТЬ,"каго, адасабляць, адасобнены. Кормнага кукуця (парсюка) ўжо адасобнілі, заперлі ў катух."
ОБОСТАЛЬ,прысл. ўдосыць.
ОБОСТРЯТЬ,"што, авайстраць, авойстраны."
ОБОСТРЕНИЕ,ср. авойстраньне.
ОБОЩРЯТЬ,"каго, заахвочываць."
ОБОЮДНЫЙ,"абапольны, абапал. Абапольная віна. Абапольны грэх. Абапол дарогі пасаджаны ліпы."
ОБРАБАТЫВАТЬ,"што, паляпшаць даглядам, работай; апрацовываць, апрацоўка; абрабляць, аброблены, абробка. Дзікі камень абрабляюць чэшучы яго. Скуры абрабляюць квасам. Ральлю абрабляюць плугам і бараной."
ОБРАЗОВЫВАТЬ,"што, надаваць кшалт, абраз; утвараць, ствараць, вытвараць. За гліны вытвараюць начыньне. Італьянцы першыя стварылі са статыстыкі навуку. Бераг, на загібе ракі творыць прытную сугу (мыс). Вецер натварыў з сыпучага пяску качагораў (дюн)."
ОБРАЗОВАНИЕ,"асьвета; адукація, адукаванасьць, адукаваны. Адукаваны чалавек не раўня прастаку. Век шаснадцаты быў у нас векам адукаванасьці. Адукаційная праца вымагае вялікіх высілкаў."
ОБРАЗЕЦ,"м. рэч паводле памеру, якасьці і падобнасьці каторай павінны быць другія рэчы; наўзорчык, наўзорны, наўзорна, наўзор; проба, пробка; постатка. Постатка ножкі крэсла. Пробка гароху, аўса, сукна. Пробка, наўзорчык паперы, лёну, воўны. Наўзорны, прыкладны вучань. Наўзорны спосаб выкладу навук. Наўзорна перапісана папера, зроблена работа."
ОБРАЗНОСТЬ,"што уяўляецца ў форме постаці, абраза; уяўнасьць. Уяўнае апісаньне прыроды. Уяўлівае апавяданьне."
ОБРАЗИНА,ж. хара.
ОБРАЗДИТЬ,црк. акілзаць.
ОБРАЗУМИТЬ,"каго, апамятаць; ацяміць."
ОБРАЗУМЧИВЫЙ,"апамятлівы, ацямлівы."
ОБРОНИТЬ,"што, ськінуць, спакінуць."
ОБРАСЫВАТЬ,"што, абкідаць."
ОБРАЩАТЬ,"абяртаць, зьвяртаць. Няма што зьвяртаць на яго ўвагі. Абярнуў човен ўверх дном; абярнуў міску."
ОБРЕВИЗОВАТЬ,"што, франц. прагледзіць, парадак і праўднасьць рахункаў; зрэвізаваць; спраўдзіць."
"ОБРЕКАТЬ, ОБРЕЧЬ","каго, празначаць, пасьвячаць, ахвяровываць."
ОБРОЧНЫЙ,"пазямельны падатак; чынш, чыншовы, чыншавік. Арэнда за карыстаньне нерухомасьцю адбываная даўней якой колечы „чыннасьцю“, прыкл.: паводнай, ткацкай, рымарскай, сталярскай, бондарскай, — пазьней пераведзеная на аплату грашыма."
ОБРЕМЕНЯТЬ,"каго, чым; накладаць на каго цягар; ацягчаць, ацягчаньне."
ОБРЕМЕНИТЕЛЬНЫЙ,уцяжлівы. Уцяжлівыя варункі.
ОБРЕЧЬ,"каго, празначыць, пасьвяціць, ахвяраваць."
ОБРИТЬ,"каго, агаліць, аголены."
ОБРИСОВАНИЕ,ср. абрысоўка.
ОБРУБАТЬ,"што, абсякаць, абсякацца, абсечаны, абсечнік, абсяканец."
ОБРУБОК,"м. кавалак адсечаны ад цэлага; тое, што абсечана з усіх старон; абсяканец, воцяпень; цяльпух, цяльпушок, цяльпешка. „Цяльнушок“ кавалак адсечаны ад цэлага, нешта вычасанае з цэлага."
ОБРУБКИ,"астаткі, адпадкі ад сячэньня; поцяннік, поцяпкі; аскромкі, трэскі."
ОБРУГАТЬ,"каго, аблаяць, аблаяны. Другі пахваліць горш чым аблаіць."
ОБРУЧЕНЬЕ,ср. заручыны.
ОБРУЧАЛЬНЫЯ,"пярсьцёнкі, заручныя."
ОБРУШАТЬ,"што, рыючы зваліваць; абрынаць, абрынацца. Абрынуўся бераг ракі, скрай гары. Абрынуўся дом, абрынулася сьцяна, страха. Лёд абрынуўся і ледзь мы не патапіліся. Ен спохапу ды са злосьці тэй на мяне абрынуўся."
ОБРЫВАТЬ,"што, акапываць."
ОБРЫВАТЬ,"што, рвучы аддзяляць; абрываць, абрываньне, абарваць, абарванец, абрывак, абрыўны."
ОБРИЗГИВАТЬ,"каго, што; апырсківаць; абрызгаць, абрызнуць."
ОБРЕЗЫВАТЬ,"што, абразаць, абрэз, абцінаць, абцяты."
ОБРЕЗАНЕЦ,м. над кім выпоўнены абрад абразаньня; абразанец.
ОБРЕЗ,"м. абрэз, абцін."
ОБРЕТАТЬ,"што, набываць; знаходзіць, вынаходзіць."
ОБРЕТЕНИЕ,набытак; знаходка.
ОБРЮЗГНУТЬ,"ацячы, аплыць на целе; азызнуць, абракнуць."
ОБРЯДИТЬ,"што, прыбраць."
ОБРЯД,"заведзены правам або звычаям парадак; абрадак, абрадовы; цэраманьял, цэрамонія."
"ОБСАЖИВАТЬ, ОБСАЖДАТЬ","што, чым; абсаджаць, абсаджаны, абсада, абсядаць."
ОБСАЛИВАТЬ,"што, аклушчаць."
ОБСАСЫВАТЬ,"што, абсысаць."
ОБСАХАРИТЬ,"што, абцукраваць."
ОБСЕЛИТЬ,мяйсцовасьць; абсяліць.
ОБСЕМЕНИТЬ,"поле, абсеяць, абсевак."
ОБЕРВАЦИЯ,ж. лац. спаціканьне.
ОБСЕРВАЦИОННЫЙ,спацікаўчы.
ОБСЕРВАТОР,м. спацікач.
ОБСИДИАН,м. вульканічнае шкло.
ОБСИДЕТЬСЯ,абседзіцца.
ОБСКУРАНТ,"м. лац. вораг адукаціі, асьветы народу; кастырнік."
ОБСЛАЩАТЬ,"стравы, асаладжываць."
ОБСЛУШИВАНИЕ,ср. аслуханьне.
ОБСЛЕДОВАТЬ,"што, абазнаць, абазнаньне; спасачыць, спасочаны, спасочнік-ніца, апасока, спосач. Апасочылі ўсю аколіцу і нідзе не знашлі злодзеяў. Мальцы такі спасачылі дзе курыца нясецца. Пан загадаў нам апасочыць ўсю пушчу каб даведацца ў якім оступе мядзьведжае лагво. (Пружаны)."
ОБСНАЩИВАТЬ,"вадаплаў; аснаджаць, аснада."
ОБСОБИТЬ,"што, прысобіць, асвоіць."
ОБСОВЫВАТЬСЯ,асувацца.
ОБСТАВИТЬ,"што, чым; абставіць, астовіць. Абставіў лавы гаршкамі. Астовіў ўсю хату болдамі, стаўцём."
ОБСТАНОВКА,"акружаючыя, каго ці што людзі, рэчы, варункі; абастоўка; варункі, акольнасьць. У гэткай абастоўцы, варунках, акольнасьцях цяжка працаваць."
ОБСТАИВАТЬ,"каго, адстаіваць; заступацца, заступаць. Заступацца за свае правы, за сваю справу. Нябось, я цябе адстаю перад начальствам (зьверхнасьцю)."
ОБСТОЯТЕЛЬНЫЙ,"чалавек, надзейны; пэўны."
ОБСТОЯТЕЛЬСТВА,"акольнасьці, варункі. Акольнасьці, варункі не далі мне свабоды рухаў. Гэта акольнасьць прымусіла мяне перамяніць сваю подумку."
ОБСТЕГАТЬ,"каго, абсьцябаць, абхлястаць."
ОБСТРОГАТЬ,"дашку, астругаць."
ОБСТРАДАТЬСЯ,"агоўтацца, абцярпецца."
ОБСТРАИВАТЬ,"дом, аббудовываць, аббудоўка, аббудавацца."
ОБСТРОЧИТЬ,"каўнер, абштабнаваць."
ОБСТРУКЦИЯ,"ж. лац. лек. зацьвердзь, завал у кішкох; зацьвердзь."
ОБСТУПАТЬ,"каго, аступаць, аступлены, оступ."
ОБСУЖДАТЬ,"што, абдумываючы абгаварываць што; абмярковываць, абмяркаваньне, абмяркація."
ОСУЖДЕНИЕ,"ср. абвіняць каго судом; хаяць абгаворамі; осуд, асуджаць, асуда, асуднік—ніца, асудны."
ОБСУРГУЧИВАТЬ,"ліст, абляковываць."
ОБСУСЛИТЬ,асьлінявіць.
ОБСУШИВАТЬ,"што, асушаць."
ОБСЧИТЫВАТЬ,"каго, аблічаць."
ОБСЫПЫВАТЬ,"каго, чым; абсыпаць."
ОБСЕМЕНЯТЬ,"поле, абсяваць, абсевак, абсеў, абсеўны абшар."
ОБСЕНЯТЬ,"што, азасьціць."
ОБТАЧИВАТЬ,"на такарным пастаўцу; абтачываць, абточаны."
ОБТЕСАТЬ,"бэльку, абчасаць."
ОБТРЕСКАТЬСЯ,аб рэчы; абшчапацца.
ОБТЯГИВАТЬ,"што чым, абцягаць; апінаць."
ОБТЯЖКА,"напінка, напін."
ОБТЯЖНЫЯ,"гузікі, абапонныя."
ОБУВАТЬ,"каго, абуваць, азуваць."
ОБУВЬ,"ж. абутак, абуваць."
ОБУГЛИВАТЬ,"што, абвогліваць, абвоглены, абвогліць."
"ОБУЕВАТЬ, ОБУЯТЬ","каго, агалчаць. Хцівасьць агалошыла яго. Слава агалчае людзей. Агалцелы страхам, страціўся."
ОБСУЖДАТЬ,"што, амярковываць."
ОБУЗДАТЬ,"каго, акілзаць, абрытаць; угаманіць; паўсьцягнуць."
ОБУЛТЫХАТЬСЯ,"ў вадзе, абалохтацца."
ОБУМИТЬ,"каго, аразуміць, апамятаць."
ОБУРЕВАТЬ,"каго, абураць. Ветры абураюць мора. Ярасьць абурае душу."
ОБУСЛОВЛИВАТЬ,абварунковываць.
ОБУХ,"м. тупы зад усякай вострай прылады — сякоры, нажа; абух, абушок, абушнік, абушына."
ОБУЧАТЬ,"каго, чаго; навучаць, навучаньне, навучаны, навучнік—ніца, навука."
ОБУЯТЬ,"ахапіць, апанаваць."
ОБХАЖИВАТЬ,"розныя мейсцы, абхадзіць, абходжаны, абход, абходчык."
"ОБХОЖДЕНИЕ, ОБХОДИТЕЛЬНОСТЬ",ветласьць.
ОБХВАТЫВАТЬ,"што, абхапляць; абхопчывы. Мядзьведзь абхопчывы, ахвоч абнімацца. Ахапываньне, ахапаньне, ахопісты, ахапка. Усяго ў ахапку не забярэш. Хату ды сямью ў ахапку ня возьмеш."
ОБХЛЕСТАТЬ,"пугу, абляскаць, ахлыстаць."
ОБЦАРАПАТЬ,"што, абдзерці, абдзёрстаць."
ОБЧИНЯТЬ,"алувок, абразаць борк алуўка; астругаць."
ОБШАРКИВАТЬ,"што, асмаргаць, ашмаргаць; абшмыгаць, абшмыгтаць локці ў вопратцы."
ОБШИВКА,"на вопратцы, аблямоўка; на сьценах хаты: ашалёўка."
ОБШИВНИ,шырокія сані; розвальні.
ОБШЛАГ,"м. ням. адварот на рукаве ці на грудзёх; закарваш, закарвашы."
ОБЩЕНИЕ,ср. лучнасьць. Лучнасьць людзей.
"ОБЩАТЬ, ОБЩАТЬСЯ","лучыць, злучаць. Не лучы гэтых людзей разам. Ня злучай маіх спраў са сваімі. Не прылучай чужога. Дзьве палавіцы гораду разлучаны ракой."
ОБЩЕЕ,"ср. агульнае, супольнае. Агульная міса."
ОБЩНО,"з кім, лучна, супольна."
ОБЩНОСТЬ,"агульнасьць, сумеснасць, супольнасьць."
ОБЩИТЕЛЬНЫЙ,"чалавек, таварыскі, дружацкі."
ОБЩИНА,"ж. злучнасьць людзей як нешта аддзельная цэлае; грамада, грамадзкі."
ОБЩЕСТВО,"ср. сабраньне людзей злучаных якімі колечы варункамі, умовамі; суполка; таварыства. Суполка, таварыства дамаўласьнікоў, шаўцоў, краўцоў, выдаўцоў."
ОБЩЕСТВЕННЫЙ,грамадзкі.
ОБЩЕИЗВЕСТНЫЙ,агульнаведамы.
ОБЩЕДОСТУПНОЕ,"відовішча, агульнадаступнае."
ОБЩЕЖИТИЕ,сужывецтва; інтарнат.
ОБЩЕНАРОДНЫЙ,ўсенародны.
ОБЩЕПОЛЕЗНОЕ,агульнакарыснае.
ОБЩЕПОНЯТНОЕ,агульназразумелае.
ОБЩЕУПОТРЕБИТЕЛНОЕ,агульнаўжытнае.
ОБЩЕЛКАТЬ,аблузгаць.
ОБЩИПЫВАТЬ,"гусю, скубаць, аскубываць."
ОБЕДИНЯТЬ,"што, спалучаць, злучаць; садначываць; аб‘еднываць."
ОБЕКТ,"м. лац. знадабень, знадбень; самасьць."
ОБЕКТИВ,"м. шкло падзорнай трубы, зьвернутае да рэчы."
ОБЕКТИВНЫЯ,"азнакі, якія могуць быць спаціканы глядачом; суб‘ектывные, чуюцца самім аб‘ектам."
ОБЕКТИВНОСТЬ,"погляду, апісаньня; праўдная, безстаронная перадача, без асабістага удзелу."
ОБЕМИСТЫЙ,"абоймісты, абоймістасьць."
ОБЕМ,"чаго, абойм, абойма, абоймы."
ОБЕЗЖАТЬ,"што, аб‘язджаць."
ОБЮНЕТЬ,"на вясну, амаладзець."
ОБЯВЛЯТЬ,"што, апавяшчаць, аглашаць."
ОБЯВЛЕНИЕ,"ср. апавешчаньне, агалошаньне."
ОБЯСНЯТЬ,"што, каму; тлумачыць."
ОБЯСНЕНИЕ,ср. тлумачэньне.
ОБЫВАТЕЛЬНИЦА,абываталь-талька.
ОБЫКАТЬ,"да чаго, абвыкаць."
ОБЫКНОВЕНЬЕ,"ср. звычай, звычны; навык."
ОБЫКНОВЕННЫЙ,звычайны.
ОБЫСКИВАТЬ,"каго, шукаць чаго ў каго; трасьці."
ОБЫСК,"м. потрус, пяротрус, пяротрусы, пяротрусны."
ОБЫЧАЙ,"звычай, звычаі, звычайны."
ОБЫЩИК,"м. пяротрусьнік, ператрусьнік."
ОБЕДАТЬ,"абедаць, абеданьне, абед; палуднаваць, палуднік."
ОБЕДНЯ,"царкоўная служба, літургія; палудня, палудніца; палудзенка, малая палудніца."
ОБЕДНЕНЬЕ,"абядненьне, абяднець."
ОБЕЖАТЬ,"што, абегчы."
ОБЕЛИВАТЬ,"сьцены, абяляць, пабяляць."
ОБЕЛЬНЫЕ,"селяне, вольныя, звольненыя ад"
ОБЕРУЧЬ,"прысл. абаруч, абаручны."
ОБЕТОВАТЬ,"што, ахвяраваць, азарочыць, прыракаць, прырачоны."
ОБЕТ,"м. ахвяра; зарок, зарочны, заракацца. Даў зарок ня піць гарэлкі. Зарочнага барана павёз у царкву на ахвяру. Заракалася сьвіньня бруды есьці."
ОБЕЩАТЬ,"што каму, абяцаць, абяцаньне, абяцацца, абяцанка."
ОБЯЗЫВАТЬ,"каго, чым; абавязываць."
ОБЯЗАННОСТЬ,"абавязак, абавязковы; павіннасьць."
ОБЯЗАТЕЛЬСТВО,ср. забавязаньне.
ОВАЦИЯ,ж. лац. выяўленьне каму ад грамады ўдзячнасьці; авація.
ОВДОВЕТЬ,"аўдавець, удовы-вая."
ОВЕН,"м. баран, барашак, баранчык."
ОВЕРШЕК,узвершак.
ОВЕС,"м. авёс, аўсяны, аўсянік (блін), аўсюг."
ОВИН,"м. будоўля да сушэньня збожжа; еўня, асець, стадола (смл.), клуня. Вось ужо для вавашэці гатова жыта ў асеці."
ОВЛАДЕВАТЬ,"чым, аваладзець, аваладзеваць, аваладзежа."
ОВОД,"м. муха Oestrus; авадзень, авадні; гіз, гізы. Трэба разрожніваць авадня, гіза і сляпня якіх зазвычай зьмешываюць. Авадзень большы і сьвятлейшы за сьляпня, а гіз — меншы, касматы і цямнейшы за сьляпня."
"ОВОЩ, ОВОЩИ","ядомые націвы і карэньні: цыбуля, капуста, буракі, морква, рэпа, агуркі, гарбузы: гардавіна, гардовіца; сьлеціва, сьлеціўя; зеляніна. Сьлеціўя сёлета неўрадзіла (Слонім)."
ОВОЩНИК,"м. чалавек які прадае сьлеціўя, гардавіну; сьлетнік, гардаўшчык."
ОВРАГ,"м. прытнабокая рытвіна, расточына ад веснавых вод; яр, яруга; растока; сухадол."
ОВЦА,"ж. авечка, авечы; авечнік, аўччарнік, хлявец для авечак."
ОГАРОК,"м. агарак, агаркі."
ОГВОЗДИТЬ,"скрыню, абіць цьвякамі; ацьвякаваць."
ОГИБАТЬ,"што, агібаць, агінаць, ахінаць."
ОГЛАВЛЯТЬ,"што, азгалаўліваць, азгалоўлены."
ОГЛАВЛЕНИЕ,"ср. агаловак, азагаловак, азагалоўны, азагалоўлівы."
ОГОНЬ,"м. агульн. слав.; агонь, агністы, агнявы; агнявік, камень які дае агонь; агнявіца, гарачка; вогнік, запаленьне, гангрэна; агніво, зьвяно у ланцугу, крэсіва; вогнішча, разложаны агонь, сьлед, мейсца дзе быў разложаны агонь."
ОГНЕДЫШУЩАЯ,"гара, агнезейчая."
"ОГНЕСТОЙКИЙ, ОГНЕУПОРНЫЙ","агнеадпорны. Агнеатпорная цэгла, будоўля."
ОГНЕСТРЕЛЬНЫЙ,агнястрэльчы.
ОГНЕННЫЙ,агністы.
ОГОВАРИВАТЬ,"што, дапускаць што умоўна, ставіць варункі; варункаваць, засьцярагаць; рабіць увагу, ссылку амаўляць; асуджаць каго завочна, абмаўляць."
ОГОВОРКА,"ж. засьцярога. Трэба зрабіць засьцярогу, што падмочанага тавару ня прыймем."
ОГОЛАЖИВАТЬ,"каго, агаладжаць."
ОГОРОД,"м. агароджанае мейсца, дзе садзяць гардавіну, сьлеціва; гарод, гародны; садок."
ОГОРОДНИК,"м. агроднік, агродніцкі, агродніцтва."
ОГРАЖДАТЬ,"што, каго; асланяць. Ад ворага аслонішся, а ад прыяцеля не аслонішся. Аслані сябе крыжом і малітвай."
ОГРАДА,"ж. агарода, агароджа."
ОГРАДИТЕЛЬ,м. заступнік.
ОГОРЧАТЬ,"каго, зажаляць, засмучаць, згрызьці."
ОГОРЧЕНИЕ,"ср. смутак, згрызота."
ОГОРОШИТЬ,"каго, агалошыць."
ОГОРСТАТЬ,"што, агартаць."
ОГРАБИТЬ,"каго, аграбаваць, абрабаваць, аблупіць."
ОГРАНИВАТЬ,"што, аграняць, агранка."
ОГРАНИЧИВАТЬ,"што, агранічаць, абмяжаць."
ОГРЕСТИ,"што, абграбсьці."
ОГУРЕЦ,"м. расьціна і плод Cucumis sativus; агурок, агуркі, агурэчнік; хрустак (Гродзенск.). Націва агурэчніка, таксама як гарбузоў і іншых"
ОДЕЖДА,"ж. ўсё чым чалавек адзяваецца; адзеньне, адзежа, адзежка, адзежына; вопратка. Усей адзежы — шапка ды анучы. Без адзежы, бяз ежы, сядзелі на вежы (пабрахушка). Адзежа падзяляецца на сподню — бялізну і верхнюю — адзеньне, або вопратку. Слова „хусьцё“ літэральна тое-ж самае, што і рас. „платье“. З чужаземных пісьменнікаў даведываемся, што вопратка нашых прапрашчураў (Х—ХІІ ст.) складалася з сьвіты, ботаў і пушыстай шапкі. Гэты весткі пацьвярджаюцца нашымі народнымі абрадовымі песьнямі (Вялікоднымі і Каляднымі). Пяецца ў песьнях: „Надзень"
ОДЕРЕВЯНЕТЬ,"адрывець, адрывянець; адубець, адубелы. Адубелі рукі ад работы, ногі ад хадоты."
ОДЕРЖИМЫЙ,"апантаны, агалцелы."
ОДЕСНУЮ,"чаго, праваруч."
ОДИН,"м. адзін, адна, адзіны, адзінюсенькі, адзіна, аднойчы; адзінец, адзінокі, адзінакі, адзінака, адзінакавы; адзінак, адзіначка, адзінком, адзінка, адзіночна."
ОДНОВРЕМЕННО,"адначасна, адначасова."
ОДНОГЛАСНЫЙ,аднагалосны.
ОДНОДВОРЕЦ,"аднахатнік, засьцянковец."
ОДНОЗВУЧНЫЙ,адназгучны.
ОДНОЗНАЧНЫЙ,сузначны.
ОДНОЛИЧНО,аднаасобна.
ОДИНАКОВЫЙ,аднолькавы.
ОДНАЖДЫ,"аднакрот, аднакротны."
ОДНОИМЕННЫЙ,суіменны.
ОДНООБРАЗНЫЙ,аднастайны.
ОДНОРОДНЫЙ,аднаісты аднаякі.
ОДНОЦВЕТНЫЙ,"аднаколерны, аднабарвісты."
ОДНАКО,"прысл. аднача. Усё добра, аднача канец благі."
ОДОБРЯТЬ,"што, пахваляць, пахвала, пахвальнік."
ОДОЛЖАТЬ,"каму што, даваць у доўг; пазычаць, пазыка; абавязываць, рабіць каму услугу, ласку. Пазыч мне грошы. Апазычыўся, запазычыўся кругом. Узяў пазыку пад застаў. Зрабі ласку, падай мне кнігу. Не хадзі, не прасі чужой ласкі."
ОДОЛЕТЬ,"каго, што; („доля“, часьць), асіліць, перасіліць, перамагчы, перамагаць, перамога, пераможлівы; адужыць."
ОДОНЬЯ,"ападкі, астаткі, гушча на дне; падонкі."
ОДР,"м. ложа, лежа; пасьцель; памост пры дрэве ў лесе, на які стаўляюць вульлі пшчол; сядлаватае разьвільле на дрэве; адро."
"ОДРЯБЛЕТЬ, ОДРЯБНУТЬ","разкіснуць, зьвянуць і падыйсьці вадой як мёрзлая рэпа; ахізнуць, ахізлы."
ОДРЯХЛЕТЬ,"стацца трухлым; атрухлець, атрухлелы, атрухнуць; авехнуць."
ОДТЯЖКА,"адвалочка, адвалока."
ОДУБИТЬ,"скуры, агарбаваць."
ОДУВАНЧИК,"расціна Leontodon taraxacum, якога пухавістае насеньне разносіцца ветрам; кульбаба, багатка."
ОДУТЛЫЙ,"адутлаваты; азызлы, азызлаваты."
ОДУРМАНИТЬ,"ачмуціць, ачмута; ачмарыць, ачмара, ачмурэлы."
ОДУХОТВОРЯТЬ,"што, надаць чаму духоўны зьмест, значэньне, ажывіць духам; адухаўляць, адухоўлены, адухоўленьне."
ОДУШЕВЛЕНИЕ,"ажыўленьне, ажыўляць."
ОДЫШКА,"труднае прыгнеценае дыханьне; удушша, удушлівы, удушлівец."
ОДЕВАТЬ,"каго ў што, апранаць, апранацца."
ОДЕЯЛО,"палотнішча якім акрываюцца кладучыся спаць; суконная або ватная: коўдра, ватола; палатняная: капа."
ОДЕЯЛЬНИК,"посьцілка падшываная пад коўдру; пакрывец, прасьцірадла."
ОЖЕРЕЛЬЕ,"ср. нашыйная аздоба з каменяў ці манэт; нашыйнік, ашыйнік."
ОЖЕСТОЧАТЬ,"каго, пазбавіць спачуцьця і жаласьці; акамевіць, акамелы, акастырыцца, ачарсцьвець сэрцам. Акамеў сэрцам, акамелае сумленьне. Закамеў ў злосьці сваей."
ОЖЕСТЕВАТЬ,"каржэць, калянець, дубець, карэць, скорбнуць."
ОЖЕЧЬ,апаліць.
ОЖИВЛЯТЬ,"каго, ажыўляць."
ОЖИВОТВОРЯТЬ,"ажыцяўляць, ажыцёўлены."
ОЖИДАТЬ,"каго, ждаць, чакаць, чаканы."
ОЖИРЕТЬ,разсыцець.
ОЗАБОТИТЬ,"каго, заклапоціць, стурбаваць."
ОЗАБОЧЕННО,"заклапочана, клапатліва."
ОЗАВОДИТЬСЯ,"чым, азасаблівацца, азасобіўся. Азасобіўся жонкай і дзеткамі."
ОЗАГЛАВИТЬ,"кнігу, азагаловіць, азагаловак."
ОЗАДАЧИТЬ,"зумець, зумеўся, зуменьне."
ОЗАРИТЬСЯ,"на што, пагаліцца, паквапіцца. Паквапіўся на дармовую чарку."
ОЗДОРАВЛИВАТЬ,"каго, аздараўляць, ачуняць."
ОЗЕРО,"ср. возера, возерца, вазёрны, азярына."
ОЗИМЬ,пасеў на зіму; азіміна.
ОЗЛАЩАТЬ,"што, азалачываць, азалочаны."
ОЗЛОБЛЯТЬ,"каго, злаваць, злосьціць."
ОЗНАКОМИТЬ,"каго, азнаёміць, азнаёмленьне."
ОЗНАМЕНОВЫВАТЬ,"што, чым; азнамляць, азнамлены, азнаміцца; адзначаць, адзначаны, адзнака."
ОЗНОБЛЯТЬ,"пальцы, вушы, нос; азябляць, азяблы, азябшы."
ОЗНОБ,"м. зяб, зябкі, зябіць, празябнуць."
ОЗНОБЧИВЫЙ,"зябкі, азяблівы."
ОЗОЛЯТЬ,"што, ажлукчаць."
ОЗОЛА,дакука.
ОЗОРСТВО,"буянства, буяніць, буян."
ОЗРЕВАТЬ,"аглядаць, агляд."
ОКАЙМЛЯТЬ,"што, аблямовываць, аблямоўка, абрамляць, абрамоўка. Абрамаваць рысунак."
ОКАМЕНЕТЬ,"акамець, акамелы."
ОКАМЕНЕЛЫЙ,"акамеўшы, скамеўшы."
ОКАНЧИВАТЬ,"што, даканчаць, даканчальна."
ОКОНЕЧНОСТЬ,"канец рэчы, гаворыцца аб руках і нагах; канчына, канчыны."
ОКОПТИТЬ,"шкелка, задыміць, задымлёны."
ОКАРАЧИВАТЬ,"каго, акярэчываць, акярэчыў, ажыргаць, ажыргнуў. Ажыргаў каня, — абняў нагамі конскі хрыбет."
ОКАРАЧУНИТЬСЯ,"акапуціцца, акалець."
ОКАРМЛИВАТЬ,"акярмляць, акормлены."
ОКАЯННЫЙ,"пракляты, закамелы."
ОКАТИСТЫЙ,кругляны; букаты.
ОКАЧИВАТЬ,абліваць.
ОКЕАН,"м. ўсесьветнае мора якое акружае ўсю цьвердзь зямельную; акіян, акіянскі."
ОКИПЯТИТЬ,"што, акіпеніць, абварыць."
ОКИСАТЬ,"станавіцца кіслым; акісаць, акіснуць; аквашывацца, акваснуць."
ОКИСЛЯТЬ,"што, аквашываць, акісьляць, оквась."
ОКЛЕВЕТАТЬ,"каго, абмовіць, абмова; ачарніць."
ОКЛИКИВАТЬ,"каго, аклікаць."
ОКОВЫ,аковы.
ОКНО,"ср. аг. слав., вакно, ваконца, ваконны."
ОКО,"ср. аг. слав., вока, вочка, вочы, вочкі, вочніца, вочны, вачкаваты."
ОКОЛДОВАТЬ,"каго, ачараваць."
ОКОЛИРОВАТЬ,"яблыню, прышчапляць, пучкаваць."
ОКОЛЕСИЦА,"акалозіца, кругабродзіца."
ОКОЛО,"каля, акаля, вакол. Каля хаты, лесу. дарогі. Будзе каля 30 гадоў. Прыбяры акаля дому. Вакол хаты рожы, а ў хаце прыгожа."
ОКОЛОЗЕМНЫЙ,акалязямельны.
ОКОЛЫШЕК,аколак.
ОКОЛОТОК,"м. аколіца, акалічны; кругаселіца."
ОКОЛАЧИВАТЬ,"каго, абіваць."
ОКОЛПАЧИТЬ,"каго, адурыць."
ОКОЛТАТЬСЯ,"каля чаго, агоўтацца."
ОКОМГНОВЕНИЕ,"ср, воміг, вомігам."
ОКОНЕЧНЫЙ,"даканчальны, аканечны."
ОКОНОПАЧИВАТЬ,"човен, пакляваць."
ОКОНТУЗИТЬ,"ассадніць, садно."
ОКОРАЧИТЬ,"што, ажыргаць."
ОКОРНАТЬ,"каго, што; акуртаць, куртаты."
ОКОРОК,"м. сьцягно, кумпяк з мясам; кумпяк, кумпячына."
ОКОРЯВЕТЬ,"заскарузнуць, заскарэць."
ОКОСЕВО,"дрэўца, ручка касы; касавіла."
ОКОСНЕТЬ,"акалець, асьцерпнуць, акрэпнуць. Рукі акалелі, асьцерплі, акрэплі ад сьцюжы. Нябошчык яшчэ не асьцерп, не акрэп."
ОКОСОЛАПИТЬ,"каго, акульгавіць."
ОКОСОГЛАЗИТЬ,"каго, абаднавочыць."
ОКОСТЕНЕТЬ,"стацца цьвёрдым як косьць; акасьцявець, акасьцявелы, акасьцявеласьць, акастырэць, акастырыцца."
ОКОЧЕНЕТЬ,"акрэпнуць астыгаючы ад сьцюжы; акрэпнуць, асьцерпнуць, адубець, акалець."
ОКОШКО,"ж. ваконца; прозарка, малое ваконца каля дзьвярэй."
